,ipv4,countries_from_geoip2,provinces_from_geoip2,city_from_geoip2,latitude_from_geoip2,longitude_from_geoip2,status_from_ipapi,country_from_ipapi,countryCode_from_ipapi,region_from_ipapi,regionName_from_ipapi,city_from_ipapi,zip_from_ipapi,lat_from_ipapi,lon_from_ipapi,timezone_from_ipapi,isp_from_ipapi,org_from_ipapi,as_from_ipapi
0,36.59.54.237,中国,安徽,亳州,33.8772,115.7703,success,China,CN,AH,Anhui,Rongcheng,,30.6007,117.925,Asia/Shanghai,Chinanet,Chinanet AH,AS4134 CHINANET-BACKBONE
1,106.55.145.106,中国,,,34.7725,113.7266,success,China,CN,GD,Guangdong,Shenzhen,,22.5431,114.05799999999999,Asia/Shanghai,Shenzhen Tencent Computer Systems Company Limited,"Tencent cloud computing (Beijing) Co., Ltd.",AS45090 Shenzhen Tencent Computer Systems Company Limited
2,country,,,,{' not in the database'},{' not in the database'},,,,,,,,,,,,,
3,106.55.145.106,中国,,,34.7725,113.7266,success,China,CN,GD,Guangdong,Shenzhen,,22.5431,114.05799999999999,Asia/Shanghai,Shenzhen Tencent Computer Systems Company Limited,"Tencent cloud computing (Beijing) Co., Ltd.",AS45090 Shenzhen Tencent Computer Systems Company Limited
4,country,,,,{' not in the database'},{' not in the database'},,,,,,,,,,,,,
5,36.59.54.237,中国,安徽,亳州,33.8772,115.7703,success,China,CN,AH,Anhui,Rongcheng,,30.6007,117.925,Asia/Shanghai,Chinanet,Chinanet AH,AS4134 CHINANET-BACKBONE
6,country,,,,{' not in the database'},{' not in the database'},,,,,,,,,,,,,
7,36.59.54.237,中国,安徽,亳州,33.8772,115.7703,success,China,CN,AH,Anhui,Rongcheng,,30.6007,117.925,Asia/Shanghai,Chinanet,Chinanet AH,AS4134 CHINANET-BACKBONE
8,106.55.145.106,中国,,,34.7725,113.7266,success,China,CN,GD,Guangdong,Shenzhen,,22.5431,114.05799999999999,Asia/Shanghai,Shenzhen Tencent Computer Systems Company Limited,"Tencent cloud computing (Beijing) Co., Ltd.",AS45090 Shenzhen Tencent Computer Systems Company Limited
9,106.55.145.106,中国,,,34.7725,113.7266,success,China,CN,GD,Guangdong,Shenzhen,,22.5431,114.05799999999999,Asia/Shanghai,Shenzhen Tencent Computer Systems Company Limited,"Tencent cloud computing (Beijing) Co., Ltd.",AS45090 Shenzhen Tencent Computer Systems Company Limited
10,36.59.54.237,中国,安徽,亳州,33.8772,115.7703,success,China,CN,AH,Anhui,Rongcheng,,30.6007,117.925,Asia/Shanghai,Chinanet,Chinanet AH,AS4134 CHINANET-BACKBONE
11,country,,,,{' not in the database'},{' not in the database'},,,,,,,,,,,,,
12,115.29.242.71,中国,山东省,青岛市,36.066,120.3694,success,China,CN,SD,Shandong,Qingdao,,36.066,120.3694,Asia/Shanghai,Hangzhou Alibaba Advertising Co,"Aliyun Computing Co., LTD","AS37963 Hangzhou Alibaba Advertising Co.,Ltd."
13,tty1,,,,{' not in the database'},{' not in the database'},,,,,,,,,,,,,
14,119.29.237.201,中国,,,34.7725,113.7266,success,Hong Kong,HK,HCW,Central and Western District,Hong Kong,,22.3964,114.109,Asia/Hong_Kong,Shenzhen Tencent Computer Systems Company Limited,"Tencent cloud computing (Beijing) Co., Ltd.",AS45090 Shenzhen Tencent Computer Systems Company Limited
15,185.90.136.194,荷兰,,,52.3824,4.8995,success,Netherlands,NL,FL,Flevoland,Dronten,8254,52.5347,5.72181,Europe/Amsterdam,SERVEO,Milan Schinkel trading as Serveo,AS50673 Serverius
16,185.36.81.186,立陶宛,Kaunas,考那斯,54.9,23.9,success,Lithuania,LT,KU,Kaunas,Kaunas,44001,54.9038,23.8924,Europe/Vilnius,Tele Asia Limited,UAB Host Baltic,AS133398 Tele Asia Limited
17,129.204.225.246,中国,,,34.7725,113.7266,success,China,CN,BJ,Beijing,Haidian,,39.9822,116.306,Asia/Shanghai,Shenzhen Tencent Computer Systems Company Limited,"Tencent Cloud Computing (Beijing) Co., Ltd",AS45090 Shenzhen Tencent Computer Systems Company Limited
18,4.17.231.206,美国,Arizona,Scottsdale,33.4935,-111.9211,success,United States,US,NV,Nevada,Henderson,89044,35.9025,-115.1789,America/Los_Angeles,"Level 3 Communications, Inc.","Level 3, LLC","AS3356 Level 3 Parent, LLC"
19,36.250.5.117,中国,福建省,泉州市,24.9139,118.5858,success,China,CN,FJ,Fujian,Quanzhou,,24.9139,118.5858,Asia/Shanghai,China Unicom Fujian Province Network,,AS4837 CHINA UNICOM China169 Backbone
20,42.192.82.13,中国,,,34.7725,113.7266,success,China,CN,GD,Guangdong,Shenzhen,,22.5431,114.05799999999999,Asia/Shanghai,Shenzhen Tencent Computer Systems Company Limited,"Tencent cloud computing (Beijing) Co., Ltd.",AS45090 Shenzhen Tencent Computer Systems Company Limited
21,88.162.54.93,法国,Val-de-Marne,Alfortville,48.8051,2.4197,success,France,FR,BRE,Brittany,Pontivy,56300,48.0612,-2.9921,Europe/Paris,Proxad / Free SAS,ProXad network / Free,AS12322 Free SAS
22,197.89.40.67,南非,Western Cape,Cape Town,-33.9258,18.4232,success,South Africa,ZA,WC,Western Cape,Cape Town,7945,-34.0486,18.4811,Africa/Johannesburg,Dimension Data,Dimension Data (Pty) Ltd - Optinet,AS10474 Dimension Data
23,47.226.16.147,美国,田纳西州,Martin,36.3425,-88.8554,success,United States,US,TN,Tennessee,Maryville,37801,35.7565,-83.9705,America/New_York,Charter Communications,Spectrum,AS20115 Charter Communications
24,123.59.195.173,中国,,,34.7725,113.7266,success,China,CN,BJ,Beijing,Beijing,,39.9042,116.40700000000001,Asia/Shanghai,CloudVsp.Inc,,AS4808 China Unicom Beijing Province Network
25,75.137.245.125,美国,亚拉巴马州,蒙哥马利,32.3736,-86.1833,success,United States,US,AL,Alabama,Montgomery,36117,32.3736,-86.1833,America/Chicago,Charter Communications,Spectrum,AS20115 Charter Communications
26,103.31.47.58,印度尼西亚,万丹省,坦格朗,-6.177,106.6284,success,Indonesia,ID,JK,Jakarta,Jakarta,,-6.1741,106.8296,Asia/Jakarta,PT. Media Antar Nusa,,AS138841 PT Media Andalan Nusa
27,49.233.26.59,中国,,,34.7725,113.7266,success,China,CN,GD,Guangdong,Shenzhen,,22.5431,114.05799999999999,Asia/Shanghai,Shenzhen Tencent Computer Systems Company Limited,"Tencent cloud computing (Beijing) Co., Ltd.",AS45090 Shenzhen Tencent Computer Systems Company Limited
28,81.68.181.52,中国,,,34.7725,113.7266,success,China,CN,BJ,Beijing,Haidian,,39.9822,116.306,Asia/Shanghai,Shenzhen Tencent Computer Systems Company Limited,"Tencent Cloud Computing (Beijing) Co., Ltd",AS45090 Shenzhen Tencent Computer Systems Company Limited
29,178.62.117.106,英国,英格兰,伦敦,51.5177,-0.6215,success,United Kingdom,GB,ENG,England,London,SL1,51.5368,-0.6718,Europe/London,"DigitalOcean, LLC",Digital Ocean,"AS14061 DigitalOcean, LLC"
30,68.116.41.6,美国,华盛顿州,Sunnyside,46.3215,-120.0156,success,United States,US,WA,Washington,Sunnyside,98944,46.3215,-120.0156,America/Los_Angeles,Charter Communications,Spectrum,AS20115 Charter Communications
31,188.166.244.172,新加坡,,,1.314,103.6839,success,Singapore,SG,,,Singapore,627753,1.32123,103.695,Asia/Singapore,"DigitalOcean, LLC",Digital Ocean,"AS14061 DigitalOcean, LLC"
32,106.54.108.8,中国,,,34.7725,113.7266,success,China,CN,GD,Guangdong,Shenzhen,,22.5431,114.05799999999999,Asia/Shanghai,Shenzhen Tencent Computer Systems Company Limited,"Tencent cloud computing (Beijing) Co., Ltd.",AS45090 Shenzhen Tencent Computer Systems Company Limited
33,157.245.108.35,印度,卡纳塔克邦,Bengaluru,12.9719,77.5937,success,India,IN,KA,Karnataka,Bengaluru,560100,12.9634,77.5855,Asia/Kolkata,"DigitalOcean, LLC","DigitalOcean, LLC","AS14061 DigitalOcean, LLC"
34,209.141.45.88,美国,内华达州,拉斯维加斯,36.1685,-115.1164,success,United States,US,NV,Nevada,Las Vegas,89101,36.1697,-115.1236,America/Los_Angeles,FranTech Solutions,FranTech Solutions,AS53667 FranTech Solutions
35,157.245.238.196,美国,加利福尼亚州,圣克拉拉,37.3417,-121.9753,success,United States,US,CA,California,Santa Clara,95051,37.3417,-121.9753,America/Los_Angeles,"DigitalOcean, LLC","DigitalOcean, LLC","AS14061 DigitalOcean, LLC"
36,84.99.169.230,法国,Indre,沙托鲁,46.8152,1.6943,success,France,FR,IDF,Île-de-France,Paris,75000,48.8566,2.35222,Europe/Paris,LDCOM,N9uf DYN DSL,AS15557 SFR SA
37,167.99.143.38,德国,Hesse,法兰克福,50.1188,8.6843,success,Germany,DE,HE,Hesse,Frankfurt am Main,60313,50.1188,8.6843,Europe/Berlin,"DigitalOcean, LLC",Digital Ocean,"AS14061 DigitalOcean, LLC"
38,42.194.173.211,中国,,,34.7725,113.7266,success,China,CN,GD,Guangdong,Shenzhen,,22.5431,114.05799999999999,Asia/Shanghai,Shenzhen Tencent Computer Systems Company Limited,"Tencent cloud computing (Beijing) Co., Ltd.",AS45090 Shenzhen Tencent Computer Systems Company Limited
39,81.69.163.92,中国,,,34.7725,113.7266,success,Netherlands,NL,NH,North Holland,Amsterdam,1015,52.3798,4.88814,Europe/Amsterdam,EuroNet Internet,Wanadoo Nederland BV,AS45090 Shenzhen Tencent Computer Systems Company Limited
40,156.236.72.209,美国,,,37.751,-97.822,success,Hong Kong,HK,HCW,Central and Western District,Hong Kong,,22.3964,114.109,Asia/Hong_Kong,Yisu Cloud,,AS133115 HK Kwaifong Group Limited
41,209.141.52.246,美国,内华达州,拉斯维加斯,36.1685,-115.1164,success,United States,US,NV,Nevada,Las Vegas,89101,36.1697,-115.1236,America/Los_Angeles,FranTech Solutions,FranTech Solutions,AS53667 FranTech Solutions
42,163.172.36.126,英国,,,51.4964,-0.1224,success,France,FR,IDF,Île-de-France,Vitry-sur-Seine,94400,48.792,2.39851,Europe/Paris,Online S.A.S.,ONLINE,AS12876 ONLINE S.A.S.
43,45.248.189.3,印度,,,20.0063,77.006,success,India,IN,MP,Madhya Pradesh,Khandwa,450001,21.8303,76.3471,Asia/Kolkata,Onet Digital Networks Pvt. LTD,Onet Digital Networks Pvt. Ltd.,AS136342 Winux Communications Pvt. Ltd.
44,189.90.143.186,巴西,Sao Paulo,弗朗卡,-20.569,-47.339,success,Brazil,BR,SP,Sao Paulo,Franca,14400,-20.5689,-47.3347,America/Sao_Paulo,Com4 Data Center Eireli,Com4 Data Center Eireli,AS28195 Com4 Data Center Eireli
45,209.141.43.13,美国,内华达州,拉斯维加斯,36.1685,-115.1164,success,United States,US,NV,Nevada,Las Vegas,89101,36.1697,-115.1236,America/Los_Angeles,FranTech Solutions,FranTech Solutions,AS53667 FranTech Solutions
46,45.133.1.115,美国,加利福尼亚州,洛杉矶,34.0544,-118.244,success,United States,US,CA,California,Los Angeles,90009,34.0544,-118.244,America/Los_Angeles,Des Capital B.V.,Serverion BV,AS213035 Des Capital B.V.
47,111.19.157.70,中国,陕西,西安,34.2598,108.9294,success,China,CN,SN,Shaanxi,Xi'an,,34.2635,108.9246,Asia/Shanghai,China Mobile communications corporation,China Mobile,AS9808 Guangdong Mobile Communication Co.Ltd.
48,64.225.66.67,荷兰,North Holland,阿姆斯特丹,52.352,4.9392,success,Netherlands,NL,NH,North Holland,Amsterdam,1098,52.352,4.9392,Europe/Amsterdam,DigitalOcean,"Web.com, Inc.","AS14061 DigitalOcean, LLC"
49,211.198.174.72,韩国,Jeollanam-do,Naju,34.9053,126.6649,success,South Korea,KR,45,Jeollabuk-do,Koch'ang,56403,35.446999999999996,126.5496,Asia/Seoul,Korea Telecom,Kornet,AS4766 Korea Telecom
50,119.29.216.238,中国,,,34.7725,113.7266,success,Hong Kong,HK,HCW,Central and Western District,Hong Kong,,22.3964,114.109,Asia/Hong_Kong,Shenzhen Tencent Computer Systems Company Limited,"Tencent cloud computing (Beijing) Co., Ltd.",AS45090 Shenzhen Tencent Computer Systems Company Limited
51,203.159.80.12,荷兰,,,52.3824,4.8995,success,Netherlands,NL,ZH,South Holland,Brielle,3232,51.8978,4.16855,Europe/Amsterdam,Des Capital B.V.,Serverion BV,AS213035 Des Capital B.V.
52,106.2.45.18,中国,,,34.7725,113.7266,success,China,CN,BJ,Beijing,Beijing,,39.9042,116.40700000000001,Asia/Shanghai,"Guangzhou NetEase Computer System Co., Ltd.","Guangzhou NetEase Computer System Co., Ltd","AS45062 Guangzhou NetEase Computer System Co., Ltd."
53,182.254.212.32,中国,广东,深圳市,22.5333,114.1333,success,China,CN,GD,Guangdong,Shenzhen,,22.5318,114.1374,Asia/Shanghai,Tencent Cloud Computing,"Tencent cloud computing (Beijing) Co., Ltd.",AS45090 Shenzhen Tencent Computer Systems Company Limited
54,142.196.183.69,美国,佛罗里达州,奥兰多,28.5759,-81.3957,success,United States,US,FL,Florida,Orlando,32801,28.5436,-81.3738,America/New_York,Charter Communications,Spectrum,"AS33363 Charter Communications, Inc"
55,140.249.205.107,中国,,,34.7725,113.7266,success,China,CN,SD,Shandong,Xintai,,35.894,117.925,Asia/Shanghai,"Qingdao, ",Chinanet SD,"AS58541 Qingdao,266000"
56,49.235.74.192,中国,,,34.7725,113.7266,success,China,CN,GD,Guangdong,Shenzhen,,22.5431,114.05799999999999,Asia/Shanghai,Shenzhen Tencent Computer Systems Company Limited,"Tencent cloud computing (Beijing) Co., Ltd.",AS45090 Shenzhen Tencent Computer Systems Company Limited
57,165.232.163.216,美国,,,37.751,-97.822,success,Singapore,SG,,,Singapore,627753,1.32123,103.695,Asia/Singapore,"DigitalOcean, LLC","DigitalOcean, LLC","AS14061 DigitalOcean, LLC"
58,212.112.98.98,吉尔吉斯斯坦,Gorod Bishkek,比什凯克,42.869,74.5939,success,Kyrgyzstan,KG,GB,Gorod Bishkek,Bishkek,,42.8746,74.5698,Asia/Bishkek,AKNET Ltd.,Aknet,AS12764 AKNET Ltd.
59,45.133.1.18,美国,加利福尼亚州,洛杉矶,34.0544,-118.244,success,United States,US,CA,California,Los Angeles,90009,34.0544,-118.244,America/Los_Angeles,Des Capital B.V.,Serverion BV,AS213035 Des Capital B.V.
60,139.59.108.41,新加坡,,新加坡,1.2929,103.8547,success,Singapore,SG,,,Singapore,627753,1.32123,103.695,Asia/Singapore,DIGITALOCEAN,"DigitalOcean, LLC","AS14061 DigitalOcean, LLC"
61,64.225.66.83,荷兰,North Holland,阿姆斯特丹,52.352,4.9392,success,Netherlands,NL,NH,North Holland,Amsterdam,1098,52.352,4.9392,Europe/Amsterdam,DigitalOcean,"Web.com, Inc.","AS14061 DigitalOcean, LLC"
62,207.154.224.149,德国,Hesse,法兰克福,50.1188,8.6843,success,Germany,DE,HE,Hesse,Frankfurt am Main,60313,50.1188,8.6843,Europe/Berlin,"DigitalOcean, LLC",Digital Ocean,"AS14061 DigitalOcean, LLC"
63,111.175.186.150,中国,,,34.7725,113.7266,success,China,CN,HB,Hubei,Wuhan,,30.5851,114.2662,Asia/Shanghai,Chinanet,Chinanet HB,AS4134 CHINANET-BACKBONE
64,120.53.2.190,中国,,,34.7725,113.7266,success,China,CN,GD,Guangdong,Shenzhen,,22.5431,114.05799999999999,Asia/Shanghai,Shenzhen Tencent Computer Systems Company Limited,Beijing Voda Telecom Technology Co. Ltd.,AS45090 Shenzhen Tencent Computer Systems Company Limited
65,194.165.16.108,摩纳哥,,Monaco,43.7312,7.4138,success,Russia,RU,MOW,Moscow,Moscow,,55.7464,37.5365,Europe/Moscow,ADM-SERVICE,ADM Service Ltd,AS48721 ADM Service Ltd.
66,118.195.139.187,中国,,,34.7725,113.7266,success,China,CN,GX,Guangxi,Liuzhou Shi,,24.3416,109.432,Asia/Shanghai,Tencent Cloud Computing (Beijing) Co,,AS45090 Shenzhen Tencent Computer Systems Company Limited
67,5.188.206.98,美国,,,37.751,-97.822,success,Bulgaria,BG,22,Sofia-Capital,Sofia,1000,42.6977,23.3219,Europe/Sofia,e-mail: noc@fastvps.biz,Technology Advanced Investment Limited,AS200391 KREZ 999 EOOD
68,129.226.188.130,香港,Central and Western District,Central,22.2795,114.146,success,Hong Kong,HK,HCW,Central and Western District,Central,96521,22.2908,114.1501,Asia/Hong_Kong,Tencent Cloud Computing (Beijing) Co,,"AS132203 Tencent Building, Kejizhongyi Avenue"
69,5.135.94.122,法国,,,48.8582,2.3387,success,France,FR,HDF,Hauts-de-France,Gravelines,59820,50.9871,2.12554,Europe/Paris,OVH SAS,OVH,AS16276 OVH SAS
70,107.180.103.176,美国,,,37.751,-97.822,success,United States,US,VA,Virginia,Ashburn,20149,39.0481,-77.4728,America/New_York,"GoDaddy.com, LLC","GoDaddy.com, LLC","AS26496 GoDaddy.com, LLC"
71,61.174.171.62,中国,浙江省,杭州,30.294,120.1619,success,China,CN,ZJ,Zhejiang,Hangzhou,,30.2994,120.1612,Asia/Shanghai,Chinanet,,AS4134 CHINANET-BACKBONE
72,116.12.50.133,新加坡,,,1.3667,103.8,success,Singapore,SG,,,Singapore,389730,1.3329600000000001,103.89399999999999,Asia/Singapore,USONYX Pte.Ltd.,USONYX Singapore Broadband Web Hosting Services,AS38532 USONYX PTE LTD
73,134.175.111.215,中国,,,34.7725,113.7266,success,China,CN,BJ,Beijing,Haidian,,39.9822,116.306,Asia/Shanghai,Shenzhen Tencent Computer Systems Company Limited,"Tencent Cloud Computing (Beijing) Co., Ltd",AS45090 Shenzhen Tencent Computer Systems Company Limited
74,188.166.249.41,新加坡,,,1.314,103.6839,success,Singapore,SG,,,Singapore,627753,1.32123,103.695,Asia/Singapore,"DigitalOcean, LLC",Digital Ocean,"AS14061 DigitalOcean, LLC"
75,176.163.6.57,法国,Ille-et-Vilaine,贝代埃,48.1795,-1.9448,success,France,FR,BRE,Brittany,La Motte,22600,48.2341,-2.7266,Europe/Paris,BOUYGUES Telecom,,AS5410 Bouygues Telecom SA
76,85.72.168.90,希腊,Attica,雅典,37.9842,23.7353,success,Greece,GR,I,Attica,Athens,,37.9842,23.7353,Europe/Athens,OTEnet,OTEnet S.A.,AS6799 Ote SA (Hellenic Telecommunications Organisation)
77,59.99.203.129,印度,卡纳塔克邦,Bengaluru,12.9719,77.5937,success,India,IN,KA,Karnataka,Bengaluru,560002,12.9634,77.5855,Asia/Kolkata,BSNL Internet,,AS9829 National Internet Backbone
78,210.183.21.48,韩国,京畿道,Yongin-si,37.2336,127.201,success,South Korea,KR,41,Gyeonggi-do,Yongin-si,17049,37.2345,127.1968,Asia/Seoul,Korea Telecom,Kornet,AS4766 Korea Telecom
79,157.92.13.105,阿根廷,布宜诺斯艾利斯,布宜诺斯艾利斯,-34.6033,-58.3816,success,Argentina,AR,B,Buenos Aires,Monte Grande,1842,-34.815,-58.4693,America/Argentina/Buenos_Aires,Universidad Nacional de Buenos Aires,Universidad Nacional de Buenos Aires,AS3449 Universidad Nacional de Buenos Aires
80,106.75.240.95,中国,,,34.7725,113.7266,success,China,CN,BJ,Beijing,Beijing,,39.9042,116.40700000000001,Asia/Shanghai,UCLOUD,Shanghai UCloud Information Technology Company Limited,AS17621 China Unicom Shanghai network
81,189.7.217.23,巴西,Rio Grande do Sul,Bagé,-31.2639,-53.9713,success,Brazil,BR,RS,Rio Grande do Sul,Bagé,96400,-31.2628,-53.9683,America/Sao_Paulo,Claro S.A.,Claro S.A,AS28573 CLARO S.A.
82,91.93.63.187,土耳其,伊斯坦布尔,伊斯坦布尔,41.0186,28.9322,success,Turkey,TR,06,Ankara,Ankara,06510,39.9111,32.8157,Europe/Istanbul,Tellcom Iletisim Hizmetleri A.S.,Bilisimbilisim,AS34984 TELLCOM ILETISIM HIZMETLERI A.S.
83,116.110.68.228,越南,Da Nang,岘港,16.0685,108.2215,success,Vietnam,VN,DN,Da Nang,Da Nang,,16.0685,108.2215,Asia/Ho_Chi_Minh,Viettel Corporation,Viettel Group,AS24086 Viettel Corporation
84,47.132.32.38,美国,北卡罗来纳州,Angier,35.4897,-78.7249,success,United States,US,NC,North Carolina,Sanford,27330,35.4666,-79.1758,America/New_York,Charter Communications,Spectrum,AS20115 Charter Communications
85,59.152.237.118,香港,Central and Western District,Central,22.2795,114.146,success,Hong Kong,HK,KKC,Kowloon City,Kowloon,96521,22.3163,114.1842,Asia/Hong_Kong,HKBN Enterprise Solutions HK Limited,WTT Broadband services,AS9381 HKBN Enterprise Solutions HK Limited
86,68.183.150.202,美国,新泽西州,克利夫頓,40.8364,-74.1403,success,United States,US,NJ,New Jersey,Clifton,07014,40.8364,-74.1403,America/New_York,"DigitalOcean, LLC","DigitalOcean, LLC","AS14061 DigitalOcean, LLC"
87,120.53.107.223,中国,,,34.7725,113.7266,success,China,CN,GD,Guangdong,Shenzhen,,22.5431,114.05799999999999,Asia/Shanghai,Shenzhen Tencent Computer Systems Company Limited,Beijing Voda Telecom Technology Co. Ltd.,AS45090 Shenzhen Tencent Computer Systems Company Limited
88,124.207.165.138,中国,北京市,北京,39.9288,116.3889,success,China,CN,BJ,Beijing,Beijing,,39.9285,116.385,Asia/Shanghai,China Unicom Beijing Province Network,"Beijing Zhongbangyatong Telecom Technology Co, Ltd",AS4808 China Unicom Beijing Province Network
89,194.61.25.28,荷兰,,,52.3824,4.8995,success,Russia,RU,SPE,St.-Petersburg,St Petersburg,190805,59.9456,30.2718,Europe/Moscow,ERA LLC,erahost.pro,AS38994 ERA LLC
90,36.152.64.18,中国,江苏省,南京,32.0617,118.7778,success,China,CN,JS,Jiangsu,Nanjing,,32.0589,118.7738,Asia/Shanghai,China Mobile Communications Corporation,China Mobile Communications Corporation,AS56046 China Mobile communications corporation
91,66.45.232.18,美国,新泽西州,Ridgefield Park,40.8548,-74.0284,success,United States,US,NJ,New Jersey,Secaucus,07094,40.7861,-74.0743,America/New_York,"Interserver, Inc","Interserver, Inc","AS19318 Interserver, Inc"
92,42.200.107.52,香港,Kowloon City,意法半,22.3167,114.1833,success,Hong Kong,HK,HCW,Central and Western District,Central,96521,22.2908,114.1501,Asia/Hong_Kong,PCCW IMSBiz,Hong Kong Telecommunications (HKT) Limited,AS4760 HKT Limited
93,106.54.90.19,中国,,,34.7725,113.7266,success,China,CN,GD,Guangdong,Shenzhen,,22.5431,114.05799999999999,Asia/Shanghai,Shenzhen Tencent Computer Systems Company Limited,"Tencent cloud computing (Beijing) Co., Ltd.",AS45090 Shenzhen Tencent Computer Systems Company Limited
94,146.56.225.79,中国,,,34.7725,113.7266,success,China,CN,BJ,Beijing,Haidian,,39.9822,116.306,Asia/Shanghai,Shenzhen Tencent Computer Systems Company Limited,"Tencent Cloud Computing (Beijing) Co., Ltd",AS45090 Shenzhen Tencent Computer Systems Company Limited
95,142.93.160.121,德国,Hesse,法兰克福,50.1188,8.6843,success,Germany,DE,HE,Hesse,Frankfurt am Main,60313,50.1188,8.6843,Europe/Berlin,"DigitalOcean, LLC","DigitalOcean, LLC","AS14061 DigitalOcean, LLC"
96,157.230.5.38,美国,新泽西州,North Bergen,40.793,-74.0247,success,United States,US,NJ,New Jersey,North Bergen,07047,40.793,-74.0247,America/New_York,"DigitalOcean, LLC",Digital Ocean,"AS14061 DigitalOcean, LLC"
97,180.76.165.92,中国,,,34.7725,113.7266,success,China,CN,BJ,Beijing,Beijing,,39.9042,116.40700000000001,Asia/Shanghai,"Beijing Baidu Netcom Science and Technology Co., Ltd.","Beijing Baidu Netcom Science and Technology Co., Ltd.","AS38365 Beijing Baidu Netcom Science and Technology Co., Ltd."
98,218.86.31.67,中国,,,34.7725,113.7266,success,China,CN,FJ,Fujian,Xiamen,,24.4798,118.0819,Asia/Shanghai,Chinanet,Chinanet FJ,AS4134 CHINANET-BACKBONE
99,119.45.185.51,中国,,,34.7725,113.7266,success,China,CN,BJ,Beijing,Beijing,,39.9042,116.40700000000001,Asia/Shanghai,China Unicom Guangdong Province network,"Tencent cloud computing (Beijing) Co., Ltd.",AS45090 Shenzhen Tencent Computer Systems Company Limited
100,47.33.209.88,美国,密歇根州,Owosso,42.9934,-84.1595,success,United States,US,MI,Michigan,Owosso,48867,42.9934,-84.1595,America/Detroit,Charter Communications,Spectrum,AS20115 Charter Communications
101,58.244.188.162,中国,吉林,长春,43.88,125.3228,success,China,CN,JL,Jilin,Jilin City,,43.8384,126.54799999999999,Asia/Shanghai,CNC Group CHINA169 Jilin Province Network,,AS4837 CHINA UNICOM China169 Backbone
102,189.110.106.78,巴西,Sao Paulo,São Paulo,-23.627,-46.635,success,Brazil,BR,SP,Sao Paulo,Jundiaí,13200,-23.20300000000001,-46.9008,America/Sao_Paulo,Vivo,TELEF�NICA BRASIL S.A,AS27699 TELEFÔNICA BRASIL S.A
103,188.166.242.106,新加坡,,,1.314,103.6839,success,Singapore,SG,,,Singapore,627753,1.32123,103.695,Asia/Singapore,"DigitalOcean, LLC",Digital Ocean,"AS14061 DigitalOcean, LLC"
104,5.188.206.54,美国,,,37.751,-97.822,success,Bulgaria,BG,22,Sofia-Capital,Sofia,1000,42.6977,23.3219,Europe/Sofia,e-mail: noc@fastvps.biz,Technology Advanced Investment Limited,AS200391 KREZ 999 EOOD
105,220.247.246.105,斯里兰卡,Colombo District,Colombo,6.9336,79.8901,success,Sri Lanka,LK,1,Western Province,Colombo,00100,6.9317,79.8482,Asia/Colombo,Sri Lanka Telecom Ltd,,AS9329 Sri Lanka Telecom Internet
106,209.141.61.58,美国,内华达州,拉斯维加斯,36.1685,-115.1164,success,United States,US,NV,Nevada,Las Vegas,89101,36.1697,-115.1236,America/Los_Angeles,FranTech Solutions,FranTech Solutions,AS53667 FranTech Solutions
107,85.235.49.231,俄罗斯联邦,Sverdlovsk Oblast,Ekaterinburg,56.8575,60.6125,success,Russia,RU,SVE,Sverdlovsk Oblast,Yekaterinburg,620014,56.8439,60.6524,Asia/Yekaterinburg,UTCBigSpace3,IT-TELECOM ltd,AS25086 MTS PJSC
108,78.101.71.175,卡塔尔,Baladiyat ad Dawhah,多哈,25.2925,51.5321,success,Qatar,QA,DA,Baladiyat ad Dawhah,Doha,,25.2925,51.5321,Asia/Qatar,ADSL,,AS42298 Ooredoo Q.S.C.
109,134.209.90.35,荷兰,North Holland,阿姆斯特丹,52.352,4.9392,success,Netherlands,NL,NH,North Holland,Amsterdam,1098,52.352,4.9392,Europe/Amsterdam,"DigitalOcean, LLC","DigitalOcean, LLC","AS14061 DigitalOcean, LLC"
110,194.165.16.109,摩纳哥,,Monaco,43.7312,7.4138,success,Russia,RU,MOW,Moscow,Moscow,,55.7464,37.5365,Europe/Moscow,ADM-SERVICE,ADM Service Ltd,AS48721 ADM Service Ltd.
111,186.137.197.124,阿根廷,Cordoba,San Francisco,-31.4286,-61.9143,success,Argentina,AR,X,Cordoba,San Francisco,2400,-31.4297,-61.9103,America/Argentina/Cordoba,Telecom Argentina S.A,Fibertel,AS7303 Telecom Argentina S.A.
112,165.227.154.137,德国,Hesse,法兰克福,50.1188,8.6843,success,Germany,DE,HE,Hesse,Frankfurt am Main,60313,50.1188,8.6843,Europe/Berlin,"DigitalOcean, LLC",Digital Ocean,"AS14061 DigitalOcean, LLC"
113,134.209.85.46,荷兰,North Holland,阿姆斯特丹,52.352,4.9392,success,Netherlands,NL,NH,North Holland,Amsterdam,1098,52.352,4.9392,Europe/Amsterdam,"DigitalOcean, LLC","DigitalOcean, LLC","AS14061 DigitalOcean, LLC"
114,110.43.52.211,中国,,,34.7725,113.7266,success,China,CN,BJ,Beijing,Beijing,,39.9042,116.40700000000001,Asia/Shanghai,Beijing Kingsoft Cloud Internet Technology Co,"Beijing Kingsoft Cloud Internet Technology Co., Ltd.",AS58466 CHINANET Guangdong province network
